"id","logtarg"
957,NA
1538,3.32647315583237
2062,NA
2232,NA
2399,2.59897887913332
2623,NA
3000,NA
3263,NA
3620,NA
3735,NA
4014,NA
4405,NA
4715,NA
4812,NA
4847,NA
4898,NA
5061,NA
5754,NA
5908,NA
6084,NA
6203,NA
6408,0
6629,NA
6882,NA
7005,NA
7080,NA
7285,NA
7439,NA
8125,NA
9512,0
9695,NA
9857,NA
10049,0
10618,0
11282,NA
11622,2.47653788717618
11770,NA
11789,NA
14591,NA
15415,NA
15571,NA
15865,0
16250,0
16586,NA
17108,NA
17205,NA
17604,NA
18147,NA
19070,3.04213850068795
19356,NA
19488,2.76631872532674
19739,NA
19810,NA
19941,NA
21482,4.29510569659453
22454,NA
22608,NA
22667,NA
22870,3.21446547881401
22934,NA
23426,NA
23574,NA
23981,NA
24570,NA
24597,NA
24945,NA
25313,NA
25380,NA
25682,NA
25690,NA
26891,NA
28347,NA
29823,0
30139,0
30600,NA
31690,NA
32379,3.60821138562641
32514,NA
32565,NA
32581,NA
33006,4.63317405003668
33154,3.84202887427656
33570,NA
34045,NA
34258,0
34681,NA
34789,NA
34967,0
35408,NA
35424,NA
35971,NA
36854,NA
38059,0
38130,NA
38288,NA
38482,NA
39160,3.36314895474478
39217,NA
40622,0
40975,NA
41904,NA
42633,0
43524,NA
44300,0
44369,NA
44890,NA
45233,2.99272712175515
45640,4.03600855386629
45950,0
46108,NA
46663,NA
46752,2.93916159910258
47155,NA
47163,NA
47260,NA
48267,NA
48372,NA
48607,NA
48968,NA
49069,NA
49387,0
49719,3.74453497763255
50040,NA
50199,NA
51110,NA
51349,NA
51403,NA
51640,NA
51691,NA
51810,NA
52248,NA
52671,2.76631872532674
54127,NA
54275,NA
56030,NA
56472,0
56782,0
58505,NA
58513,0
58718,NA
59048,NA
59633,0
59668,NA
60380,NA
60542,NA
61301,NA
61468,NA
61514,NA
62243,NA
62359,NA
62928,NA
63410,NA
64521,0
64602,NA
64831,2.06559605749403
64882,NA
65463,NA
65560,0
65900,0
66516,NA
66664,3.36210967562304
67512,NA
67636,0
67970,NA
68004,NA
68810,NA
69507,0
69540,2.48073102298
69825,NA
69973,NA
70009,NA
70416,NA
70840,NA
71153,NA
71170,2.39242532277069
72451,2.87919777151129
73156,NA
73504,NA
73636,NA
73695,0
74772,0
75221,NA
75256,NA
75264,NA
75310,3.46417208529928
75426,0
75523,NA
75698,NA
76228,NA
76651,NA
76767,NA
76996,NA
77615,NA
78085,NA
78646,NA
78700,0
79154,0
79375,NA
80497,NA
80551,0
81043,NA
81159,NA
81175,0
82384,NA
82767,0
83240,0
83518,NA
83607,0
84166,NA
84387,0
84620,2.93332445610759
84638,NA
84794,NA
85154,NA
85685,NA
86002,NA
86177,NA
87530,NA
87661,NA
87807,NA
88161,NA
88234,NA
88293,0
88447,NA
88960,0
89028,NA
89273,0
89303,0
89338,NA
89753,NA
89850,NA
92274,NA
92436,NA
92541,NA
92983,2.19165319130347
93050,0
93211,NA
93580,NA
94340,NA
94455,NA
94781,NA
95010,0
95303,NA
95389,0
96237,NA
97284,NA
97381,NA
97721,NA
98434,0
99201,0
99708,NA
99830,NA
100064,NA
101168,NA
102784,NA
103314,NA
103373,NA
103535,NA
103764,NA
104000,3.32323529031842
104060,0
104124,3.65970744839647
104256,NA
104353,4.64036622821923
104647,0
104795,NA
105562,NA
105600,NA
105678,3.6200642227409
106801,NA
107590,NA
107620,0
108537,3.65583912688317
108820,NA
108847,3.70376746527746
109436,NA
109983,NA
110426,NA
110620,NA
110728,NA
111066,NA
111350,0
111538,0
111694,NA
111830,NA
111856,NA
112240,NA
112950,NA
113131,0
113166,NA
113174,NA
113271,NA
114090,0
114774,0
114898,0
115223,NA
115576,0
116114,NA
116394,NA
116440,NA
118001,NA
118508,NA
119180,0
119318,NA
120022,0
121789,NA
121819,NA
121916,NA
122327,NA
122378,NA
122530,NA
122580,3.70475166185717
123331,NA
123340,NA
124834,NA
125342,0
125580,NA
125741,NA
125776,3.70869225388289
126306,NA
126446,NA
126586,NA
126659,NA
127213,NA
127353,NA
128600,NA
128759,NA
128970,0
129054,2.93863184143895
129747,NA
129828,3.08190940984076
130257,NA
130494,NA
131350,NA
131954,0
132187,NA
132390,NA
132683,NA
132780,NA
133000,NA
133370,NA
133612,NA
134112,0
134511,NA
135054,NA
135887,NA
136298,0
136646,NA
136697,NA
138037,NA
138690,NA
138746,3.17136404853073
139165,NA
139629,0
140058,NA
140473,0
140708,3.67376566138002
140767,NA
141097,NA
141135,0
141836,NA
142727,NA
143227,3.65970744839647
144029,NA
144320,0
145882,3.16968506777814
145947,NA
146277,NA
146366,0
146447,3.70868178221889
146587,NA
146838,NA
147109,0
147516,0
147648,NA
147702,NA
147958,0
148920,NA
148938,NA
149330,NA
149438,NA
150185,NA
150380,0
150525,NA
150568,NA
150797,NA
150800,0
150843,NA
151033,NA
151467,0
152463,NA
152706,3.36557009859586
152749,NA
153630,NA
154113,NA
154202,NA
154350,0
155373,NA
155527,NA
156043,1.78339070664984
156531,0
156833,0
156922,0
158577,NA
158712,NA
158763,0
158798,NA
158909,NA
159190,NA
159670,NA
159930,NA
160270,0
160318,3.21245449535001
161730,NA
163619,3.16716097780823
164070,4.66851972234457
164593,0
164615,NA
164690,NA
164917,0
166200,NA
167347,NA
167681,3.13113664400994
168939,NA
169943,NA
170267,0
170526,NA
170542,0
171220,NA
171883,NA
172014,NA
172464,NA
172537,NA
172774,NA
173460,0
173720,NA
173738,0
173940,NA
173975,NA
174343,0
174696,NA
174769,0
175315,NA
175420,NA
175897,NA
176591,3.49316817771377
177156,NA
177440,NA
178012,NA
178020,NA
178357,NA
179019,NA
179035,NA
179043,NA
179493,0
180084,NA
180211,0
180459,0
180599,0
180971,NA
181510,NA
182010,0
182311,NA
183024,NA
183229,0
183970,NA
184071,2.88480037184106
186180,NA
186619,NA
186740,0
187070,NA
187330,NA
187518,NA
188387,NA
189073,NA
189294,NA
189570,NA
190500,0
190519,NA
192147,0
192465,0
193348,3.3908098570814
194689,0
195367,NA
196100,NA
196118,NA
197360,NA
197440,NA
198226,NA
198412,NA
199524,NA
199788,NA
199931,0
199958,NA
200026,NA
200174,NA
200786,NA
201596,NA
201707,NA
201995,NA
202002,4.05508336159855
202460,3.37929223434901
202835,NA
203114,0
203416,0
203661,0
204188,NA
204382,NA
204900,NA
206040,3.73169872032654
207071,NA
207764,0
208612,NA
209945,0
210218,NA
211729,NA
212768,NA
213144,NA
213659,NA
213837,NA
213985,NA
214043,NA
214698,NA
215139,NA
215228,NA
215341,4.28771578752405
215562,NA
216143,NA
216410,0
217328,3.63230877968898
218413,4.09833591478291
218723,NA
218995,0
220078,0
220329,0
220477,NA
220736,NA
221066,0
221732,0
222054,NA
222135,NA
222780,NA
222798,0
223450,NA
224030,NA
224383,NA
224782,4.00099154185117
224820,0
225371,NA
225940,NA
226122,NA
226424,NA
226777,3.8231911246612
227030,4.78815731307432
227390,3.57738819104832
227447,NA
227897,NA
228230,NA
228893,NA
229415,NA
230057,0
230308,NA
230502,NA
231703,NA
232483,0
232866,NA
232904,NA
233064,NA
233137,NA
234834,0
234850,3.80109076275415
237930,NA
239275,NA
239470,2.87919777151129
239500,NA
241750,NA
242110,0
243779,NA
244090,NA
244228,NA
244635,NA
245577,NA
245739,NA
246123,0
246247,NA
247820,NA
247839,1.79009105549958
247898,NA
248762,NA
248800,NA
248835,NA
249599,NA
249963,NA
250996,NA
251240,3.94603750645881
251372,NA
251828,NA
252638,NA
252700,NA
252875,NA
253014,NA
253502,NA
254088,NA
254398,NA
254444,NA
254533,NA
254924,NA
256129,0
257486,0
257524,NA
257834,NA
258695,NA
258784,NA
259861,3.55219980036912
260452,4.13756309680879
260614,NA
260797,NA
261084,NA
261289,4.52330865606723
261416,NA
261696,NA
264369,NA
264377,0
264989,NA
265420,3.58073712546636
265810,2.19722457733622
266434,0
266639,0
266663,0
266884,NA
267929,NA
270776,NA
272116,NA
272272,0
273953,NA
274720,0
275450,NA
276413,NA
277134,NA
277193,0
279021,0
279870,NA
280496,NA
280690,NA
283266,NA
285544,NA
286338,3.84331499674965
287504,NA
288578,3.88567865409258
289990,NA
290661,NA
291110,NA
291315,NA
291943,0
292559,NA
292826,0
293385,0
294020,NA
294608,NA
296880,0
297992,NA
298123,0
298719,NA
298778,NA
299634,NA
299880,NA
300780,NA
300950,NA
301558,NA
302465,NA
302899,NA
303534,NA
303542,0
305049,NA
305154,NA
305308,NA
307076,NA
307270,0
307726,NA
308218,0
308595,NA
308609,NA
309079,NA
309516,0
310050,NA
310409,3.80109076275415
310638,0
311782,NA
312509,NA
312886,NA
313017,NA
315559,NA
316555,0
316660,NA
318442,NA
322059,3.90600456467193
322105,NA
322300,NA
323950,NA
323977,NA
323993,NA
326356,NA
328278,NA
329061,NA
334731,0
334740,NA
335282,NA
335770,0
335835,NA
336211,NA
336521,NA
340456,NA
340880,0
343137,0
343811,NA
344281,0
344397,0
346144,0
346756,NA
350621,NA
352420,0
354147,NA
354481,NA
354589,NA
354821,2.93916159910258
356816,NA
361445,NA
362174,NA
370991,0
375446,3.84267214227697
375543,0
378674,NA
379042,NA
383465,NA
385581,NA
390410,0
391395,NA
392219,NA
401196,0
403288,NA
403326,NA
404217,0
405159,NA
412619,NA
422916,NA
426750,NA
428787,3.93084440027711
433039,NA
434787,0
438502,NA
440469,3.57934288604121
453463,NA
454656,NA
457779,NA
459542,NA
472964,NA
473774,NA
474533,NA
474819,NA
477567,5.00166122808212
479640,NA
488178,0
493414,4.36309784727214
493953,NA
501271,3.6724953544312
504360,NA
506320,0
510262,3.25037401878792
524077,NA
532827,3.42686459303047
535877,NA
537918,NA
539376,NA
544566,0
546887,0
560480,5.04310216909979
564257,NA
566594,NA
571288,0
576930,NA
581127,NA
589250,NA
590070,NA
590363,NA
591858,0
592161,3.42913645359284
592285,NA
592633,NA
